,Title,Summary,Primary Category
22,truncat tempor differ effici implement tdlambda reinforc learn,tempor differ method constitut class method learn predict multistep predict problem parameter recenc factor lambda applic method tempor credit assign reinforc learn reinforc learn algorithm ahc qlearn view instanc learn paper examin issu effici gener implement tdlambda arbitrari lambda reinforc learn algorithm optim discount sum reward tradit approach base elig trace argu suffer ineffici lack gener ttd truncat tempor differ procedur propos altern approxim tdlambda requir comput action arbitrari function represent method idea deriv simpl unexplor encourag experiment present suggest lambda ttd procedur learn speedup essenti cost usual learn,Artificial Intelligence
23,costsensit classif empir evalu hybrid genet decis tree induct algorithm,paper introduc icet algorithm costsensit classif icet genet algorithm evolv popul bias decis tree induct algorithm fit function genet algorithm averag cost classif decis tree includ cost test featur measur cost classif error icet compar algorithm costsensit classif csid idx classifi regard cost algorithm evalu empir realworld medic dataset set experi perform set examin baselin perform algorithm dataset establish icet perform competitor set test robust icet varieti condit icet maintain advantag set icet search bia space discov improv search,Artificial Intelligence
24,rerepres restructur domain theori construct induct approach,theori revis integr induct learn background knowledg combin train exampl coars domain theori produc accur theori challeng theori revis theoryguid system face represent languag initi theori inappropri improv theori origin represent concis express initi theori accur theori forc represent bulki cumbersom difficult reach theori structur suitabl coars domain theori insuffici finetun theori system produc small local theori limit accomplish complex structur alter requir advanc theoryguid learn system requir flexibl represent flexibl structur analysi theori revis system theoryguid learn system reveal specif strength weak term desir properti design captur underli qualiti theoryguid construct induct experi domain improv previou theoryguid system lead studi behavior limit potenti theoryguid construct induct,Artificial Intelligence
25,pivot consist decompos solv function csp,studi carri order increas search effici constraint satisfact problem structur properti constraint network account semant properti constraint gener assum constraint possess properti paper propos decomposit method benefit semant properti function constraint biject constraint structur properti network constraint function condit exist solut guarante character subset variabl root set introduc pivot consist local consist weak form path consist achiev ond complex ond path consist properti consist instanti root set linearli extend solut lead present aforement method solv decompos function csp,Artificial Intelligence
26,adapt load balanc studi multiag learn,studi process multiag reinforc learn context load balanc distribut central coordin explicit commun defin precis framework studi adapt load balanc featur stochast natur pure local individu agent framework illumin interplay basic adapt behavior paramet effici investig properti adapt load balanc heterogen popul address issu explor exploit context final naiv commun improv harm effici,Artificial Intelligence
27,provabl boundedoptim agent,incept artifici intellig reli theoret foundat center perfect ration desir properti intellig system argu foundat inadequ impos fundament unsatisfi requir result arisen wide gap theori practic hinder progress field propos properti call bound optim roughli speak agent boundedoptim program solut constrain optim problem present architectur task environ construct agent properti simpl class machin architectur broad class realtim environ illustr simpl model autom mail sort facil defin weaker properti asymptot bound optim abo gener notion optim classic complex theori construct univers abo program program abo matter realtim constraint appli univers abo program build block complex system conclud discuss prospect bound optim theoret basi relat trend philosophi econom game theori,Artificial Intelligence
28,paclearn recurs logic program effici algorithm,algorithm learn class functionfre recurs logic program polynomi time equival queri singl kari recurs constantdepth determin claus learnabl twoclaus program consist learnabl recurs claus constantdepth determin nonrecurs claus learnabl addit basecas oracl assum impli paclearn class class learnabl recurs program constrain companion paper maxim gener gener class natur lead comput difficult learn problem companion paper paper establish boundari effici learnabl recurs logic program,Artificial Intelligence
29,paclearn recurs logic program neg,companion paper class constantdepth determin kari recurs claus effici learnabl paper neg show natur gener class hard learn valiant model paclearn program class hard learn program unbound number constantdepth linear recurs claus program constantdepth determin claus unbound number recurs call program linear recurs claus constant local impli nonlearn gener class program learn constantdepth determin program linear recurs claus linear recurs claus nonrecurs claus hard learn boolean dnf posit companion paper neg establish boundari effici learnabl recurs functionfre claus,Artificial Intelligence
30,flec plan flexibl commit strategi,evid leastcommit planner effici handl plan problem involv difficult goal interact evid led common belief plan strategi evid eagercommit planner handl varieti plan problem effici difficult oper choic resign futil univers success plan strategi devis planner studi domain problem plan strategi articl introduc plan algorithm flec flexibl commit strategi respect planstep order strategi eagercommit combin delay eager commit flec advantag benefit explicitli simul execut reason plan constraint flec vari commit strategi problem domain singl plan problem flec repres contribut plan explicitli choic commit strategi plan flec framework investig map plan domain problem effici plan strategi,Artificial Intelligence
31,induct firstord decis list learn tens english verb,paper present method induc logic program exampl learn class concept call firstord decis list defin order list claus cut method call foidl base foil quinlan employ intension background knowledg avoid explicit neg exampl problem involv rule specif except learn pasttens english verb task studi context debat foidl learn concis accur program problem exampl previou method connectionist symbol,Artificial Intelligence
32,build refin abstract plan case chang represent languag,ion promis approach improv perform problem solver domain abstract drop sentenc domain descript hierarch planner proven paper exampl illustr drawback abstract drop sentenc overcom drawback propos gener view abstract involv chang represent languag develop abstract methodolog sound complet learn algorithm complet chang represent languag plan case concret abstract achiev power chang represent languag abstract languag rule admiss way abstract domain model abstract approach core pari plan abstract refin integr abstract plan case automat learn concret case empir studi domain process plan mechan engin advantag propos reason abstract case classic hierarch plan,Artificial Intelligence
33,qualit hypothes identifi inaccur data,identifi inaccur data long regard difficult problem paper method identifi inaccur data basi qualit correl data introduc definit data qualit correl data concept call support coeffici function scf scf extract repres calcul qualit correl data dataset propos approach determin dynam shift interv inaccur data approach calcul possibl identifi inaccur data approach base scf final algorithm identifi inaccur data qualit correl data confirmatori disconfirmatori evid develop practic interpret infrar spectra appli method fulli test real spectra experiment method convent method system,Artificial Intelligence
34,integr framework learn reason,learn reason aspect consid intellig studi separ histor learn topic machin learn neural network reason fall classic symbol learn reason way interdepend paper discuss natur propos gener framework call flare combin induct learn prior knowledg reason proposit set exampl test framework present includ classic induct reason protocol simpl expert system,Artificial Intelligence
35,diffus context credit markovian model,paper studi problem ergod transit probabl matric markovian model hidden markov model hmm difficult task learn repres longterm context sequenti data phenomenon hurt propag longterm context learn hidden represent repres longterm context depend propag credit time markov chain theori problem diffus context credit reduc transit probabl approach transit probabl matric spars model essenti determinist paper appli learn approach base continu optim gradient descent baumwelch algorithm,Artificial Intelligence
36,improv connectionist energi minim,symmetr network design energi minim boltzman machin hopfield net frequent investig optim constraint satisfact approxim nphard problem find global solut global minimum energi function guarante local solut exponenti number step propos improv standard local activ function network improv algorithm guarante global minimum linear time treelik subnetwork algorithm call activ uniform assum network treelik identifi treelik subnetwork cyclic topolog arbitrari network avoid local minima tree acycl network algorithm guarante converg global minimum initi remain correct type schedul neg presenc cycl uniform algorithm exist guarante optim sequenti asynchron schedul asynchron schedul activ unit time synchron schedul activ number unit singl time step addit uniform algorithm exist optim acycl network schedul synchron final algorithm improv cyclecutset scheme gener algorithm call improv activ perform guarante size network cyclecutset,Artificial Intelligence
37,learn membership function functionbas object recognit,recognit system recogn object categori level reason object support expect function system natur associ measur good membership recogn object measur good result combin individu measur membership valu primit evalu properti object shape membership function comput membership evalu primit physic properti object previou version recognit gruff membership function primit evalu handcraft design paper provid learn compon gruff call omlet automat learn membership function set object label desir categori measur learn algorithm gener applic problem lowlevel membership valu combin andor tree structur final membership,Artificial Intelligence
38,flexibl instruct agent,paper present approach learn situat interact tutori instruct ongo agent tutori instruct flexibl power paradigm teach task instructor commun type knowledg agent situat support flexibl agent learn multipl kind knowledg broad rang instruct interact approach call situat explan achiev learn combin analyt induct techniqu combin form learn situat instruct suit contextu guid respons incomplet explan approach implement agent call instructosoar learn hierarchi task domain knowledg interact natur languag instruct instructosoar meet key requir flexibl instruct distinguish previou system unknown command instruct point handl instruct appli current situat hypothet situat languag instanc condit instruct learn instruct class knowledg perform task,Artificial Intelligence
39,opu effici admiss algorithm unord search,opu branch bound search algorithm enabl effici admiss search space order search oper applic algorithm search effici demonstr respect larg machin learn search space admiss search potenti machin learn commun exact learn bias employ complex learn task precis manipul opu potenti applic area artifici intellig notabl truth mainten,Artificial Intelligence
40,visionbas road detect automot system realtim approach,main aim work develop visionbas road detect fast cope difficult realtim constraint impos move vehicl applic hardwar platform specialpurpos massiv parallel chosen minim product oper cost paper present approach lowlevel imag segment map natur meshconnect massiv parallel simd architectur capabl handl hierarch data structur input imag assum distort version templat multiresolut stretch process reshap origin templat acquir imag content minim potenti function distort templat process output,Artificial Intelligence
41,gener claus implic,area induct learn gener main oper usual definit induct base logic implic rise clausal represent knowledg machin learn induct learn system perform gener claus relat implic main reason wellknown simpl techniqu comput gener gener implic gener inappropri learn recurs claus crucial problem recurs basic program structur logic program note implic claus undecid introduc stronger form implic call timplic decid claus finit set claus exist gener gener timplic techniqu reduc gener implic claus gener expans origin claus nontautolog claus exist tcomplet expans gener timplic claus reduc gener expans,Artificial Intelligence
42,foundat causal reason,definit term primit provid principl foundat causal reason definit depart tradit view causat causal assert vari set decis argu approach clariti notion paper examin encod causal relationship direct acycl graph special class influenc diagram canon form relationship pearl represent final canon form facilit counterfactu reason,Artificial Intelligence
43,translat horn represent characterist model,characterist model altern model base represent horn express represent incompar advantag natur cost translat represent interestingli translat question databas theori applic design relat databas paper studi comput complex problem main result translat problem equival polynomi reduct equival decis problem translat equival decid set model set characterist model horn express relat problem hypergraph transvers problem problem applic polynomi time algorithm gener translat problem hard hypergraph transvers problem special case equival,Artificial Intelligence
44,statist featur combin evalu game posit,articl describ applic wellknown statist method field gametre search larg number classifi othello posit featur weight evalu function mean estim logist regress fisher linear discrimin quadrat discrimin function distribut featur play strength compar tournament version worldclass othello program applic logist regress time context game play lead approach,Artificial Intelligence
45,rulebas machin learn method function predict,machin learn method predict realvalu function valu multipl input variabl method induc solut sampl form order disjunct normal form dnf decis rule central object method represent induct compact easili interpret solut rulebas decis model extend search effici case prior approxim function valu experiment realworld data demonstr techniqu competit exist machin learn statist method yield superior regress perform,Artificial Intelligence
46,design experiment analysi algorithm tempor reason,applic plan schedul problem molecular biolog reli heavili tempor reason compon paper discuss design empir analysi algorithm tempor reason base allen influenti intervalbas framework repres tempor core algorithm determin tempor consist find scenario consist tempor algorithm task path consist algorithm backtrack algorithm path consist algorithm develop techniqu result tenfold speedup highli optim implement backtrack algorithm develop variabl order heurist empir dramat improv perform algorithm suggest reformul backtrack search problem reduc time space requir backtrack search techniqu develop tempor reason compon solv problem practic size,Artificial Intelligence
47,wellfound semant extend logic program dynam prefer,paper describ extens wellfound semant logic program type negat extens prefer rule express logic languag deriv dynam achiev reserv predic symbol name techniqu conflict rule resolv basi deriv prefer wellfound conclus priorit logic program comput polynomi time legal reason illustr approach,Artificial Intelligence
48,logarithmictim updat queri probabilist network,tradit databas commonli support effici queri updat procedur oper time sublinear size databas goal paper step dynam reason probabilist databas compar effici propos dynam data structur support effici algorithm updat queri singli connect bayesian network convent algorithm evid absorb time queri process time size network propos algorithm preprocess phase answer queri time olog expens olog time evid absorpt sublinear process time manifest applic requir realtim respons larg probabilist databas discuss potenti applic dynam probabilist reason comput biolog,Artificial Intelligence
49,quantum comput phase transit combinatori search,introduc algorithm combinatori search quantum comput capabl concentr amplitud solut search problem averag exploit aspect problem structur classic backtrack method avoid unproduct search choic quantum algorithm solut simpl direct quantum parallel empir evalu small problem quantum algorithm display phase transit behavior locat studi classic search method difficult problem instanc concentr abrupt chang overconstrain problem,Artificial Intelligence
50,field theori sigmoid belief network,develop field theori sigmoid belief network base idea statist mechan field theori tractabl approxim true probabl distribut network yield bound likelihood evid demonstr util framework benchmark problem statist pattern recognitionth classif handwritten digit,Artificial Intelligence
51,improv continu attribut,report weak domain continu attribut address modifi format evalu test continu attribut mdlinspir penalti appli test elimin consider alter rel desir test empir trial modif lead smaller decis tree higher predict accuraci confirm version incorpor superior approach global discret construct small tree multiinterv split,Artificial Intelligence
52,activ learn statist model,type machin learn algorithm comput statist optim select train data paper review optim data select techniqu feedforward neural network principl select data altern learn architectur mixtur gaussian local weight regress techniqu neural network comput expens approxim techniqu mixtur gaussian local weight regress effici accur empir observ optim criterion sharpli decreas number train exampl learner order achiev good perform,Artificial Intelligence
53,diverg critic induct proof,induct theorem prover diverg paper describ simpl critic program monitor construct induct proof attempt identifi diverg proof attempt diverg recogn differ match procedur critic propos lemma gener rippl differ proof diverg critic enabl theorem prover spike prove theorem complet automat definit,Artificial Intelligence
54,practic method prove termin gener logic program,termin logic program negat bodi atom call gener logic program topic reason comput mechan process negat atom clark negat failur chan construct negat base termin condit paper introduc methodolog prove termin gener logic program wrt prolog select rule idea distinguish part program depend termin depend select rule notion weakli upaccept program introduc notion develop methodolog prove termin gener logic program interest problem nonmonoton reason formal implement termin gener logic program,Artificial Intelligence
55,iter optim simplif hierarch cluster,cluster discov structur data cluster system differ object function evalu cluster qualiti control strategi search space cluster ideal search strategi consist construct cluster high qualiti comput inexpens gener way partit search inexpens construct tent cluster initi examin iter optim continu search background improv cluster motiv evalu inexpens strategi creat initi cluster coupl control strategi iter optim repeatedli modifi initi cluster search method appear iter optim strategi cluster context cluster construct judg analyst taskspecif criteria author abstract criteria posit gener perform task akin pattern complet error rate complet pattern extern judg cluster util perform task adapt resamplingbas prune strategi supervis learn system task simplifi hierarch cluster promis eas postclust analysi final propos number object function base measur decisiontre induct perform error rate simplic dimens,Artificial Intelligence
56,experiment evid util occam razor,paper present experiment evid util occam razor asystemat procedur present postprocess decis tree produc procedur deriv reject occam razor attend assumpt object belong class increas decis tree complex alter perform tree train data infer complex decis tree demonstr averag varieti common learn task higher predict accuraci complex origin decis tree result rais consider doubt util occam razor commonli appli modern machin learn,Artificial Intelligence
57,gener greatest special set claus,main oper induct logic program ilp gener special sens gener order ilp gener order subsumpt implic implic rel background knowledg languag languag claus languag horn claus total order languag paper systemat treatment exist nonexist gener greatest special finit set claus order set survey contribut answer main firstli exist comput gener implic finit set claus nontautolog functionfre claus functionfre claus gener exist rel implic set gener background knowledg functionfre thirdli complet discuss exist nonexist greatest special order languag,Artificial Intelligence
58,reinforc learn survey,paper survey field reinforc learn computersci perspect written access research familiar machin learn histor basi field broad select current work summar reinforc learn problem face agent learn behavior trialanderror interact dynam environ work resembl work psycholog differ consider detail word reinforc paper discuss central issu reinforc learn includ trade explor exploit establish foundat field markov decis theori learn delay reinforc construct empir model acceler learn make gener hierarchi cope hidden conclud survey implement system assess practic util current method reinforc learn,Artificial Intelligence
59,adapt problemsolv largescal schedul problem case studi,schedul problem nphard domain specif techniqu perform practic expens construct adapt problemsolv solv domain specif knowledg acquir automat gener problem solver flexibl control architectur approach learn explor space heurist method wellsuit eccentr domain problem distribut articl discuss applic approach schedul satellit commun problem distribut base actual mission requir approach identifi strategi decreas cpu time requir produc schedul increas percentag problem solvabl comput resourc limit,Artificial Intelligence
60,formal framework speedup learn problem solut,speedup learn seek improv comput effici problem solv experi paper develop formal framework learn effici problem solv random problem solut appli framework represent learn knowledg control rule macrooper prove theorem identifi suffici condit learn represent proof construct accompani learn algorithm framework captur empir speedup learn unifi fashion illustr framework implement domain symbol integr puzzl work integr strand experiment theoret work machin learn includ empir learn control rule macrooper learn learn ebl correct pac learn,Artificial Intelligence
61,plan conting decisionbas approach,fundament assumpt classic planner uncertainti planner knowledg condit plan execut outcom action fulli predict planner construct conting plan plan action perform circumst paper discuss issu represent construct conting plan cassandra partialord conting planner cassandra explicit decisionstep enabl agent execut plan decid plan branch follow decisionstep plan result subgoal acquir knowledg plan subgoal cassandra distinguish process gather process make decis explicit represent decis cassandra coher approach problem conting plan solid base extens decisionmak procedur,Artificial Intelligence
62,principl approach symbol geometr constraint satisfact,problem geometr reason configur collect geometr bodi satisfi set constraint suggest problem solv effici symbol reason geometri approach call degre freedom analysi employ set special routin call plan fragment chang configur set bodi satisfi constraint preserv exist constraint potenti drawback limit scalabl approach concern difficulti write plan fragment paper address limit show plan fragment automat synthes principl geometr bodi action topolog,Artificial Intelligence
63,partial control multiag system,motiv control theoret distinct control uncontrol event distinguish type agent multiag control agent control system design uncontrol agent design direct control refer system partial control multiag system investig influenc behavior uncontrol agent design control agent understand problem natur term method appli influenc uncontrol agent effect method method work domain gametheoret framework paper studi design partial control multiag system context context uncontrol agent expect util maxim reinforc learner techniqu control agent behavior domain assess success examin relationship,Artificial Intelligence
64,spatial aggreg theori applic,visual think play role scientif reason base autom divers reason task dynam system nonlinear control kinemat mechan fluid motion identifi style visual think imagist reason imagist reason organ comput imagelik analogu represent perceptu symbol oper brought bear infer structur behavior program incorpor imagist reason perform expert level domain defi current analyt numer method develop comput paradigm spatial aggreg unifi descript class imagist problem solver program written paradigm properti take continu field option object function input produc highlevel descript structur behavior control action comput multilay intermedi represent call spatial aggreg form equival class adjac relat employ small set gener oper aggreg classif local perform bidirect map informationrich field success abstract spatial aggreg data structur neighborhood graph common interfac modular comput illustr theori comput structur implement problem solver kam map hipair term spatial aggreg gener oper mix match librari commonli routin,Artificial Intelligence
65,hierarchi tractabl subset comput stabl model,find stabl model knowledg base comput problem artifici intellig task comput heart truth mainten system autoepistem logic default logic nphard paper hierarchi class knowledg base omegaomega properti omega class stratifi knowledg base knowledg base omegak stabl model time olnk length knowledg base number atom arbitrari knowledg base minimum belong omegak time polynomi size class knowledg base case unioni infti omegai knowledg base belong class hierarchi,Artificial Intelligence
66,acceler partialord planner techniqu effect search control prune,propos techniqu bring wellfound partialord planner closer practic techniqu aim improv search control keep overhead cost base simpl adjust default heurist ucpop select plan refin base prefer commit forc plan refin lifo priorit radic techniqu oper paramet domain prune search domain initi comput definit oper initi goal condit polynomialtim algorithm propag set constant oper graph start initi condit plan paramet domain prune nonviabl oper instanc remov spuriou clobber threat experi base modif ucpop improv plan goal select strategi speedup factor rang varieti problem nontrivi unmodifi version crucial hardest problem greatest improv prune techniqu base paramet domain speedup order magnitud difficult problem default ucpop search strategi improv strategi lisp code techniqu test problem onlin appendic,Artificial Intelligence
67,cue phrase classif machin learn,cue phrase discours sens explicitli signal discours structur sententi sens convey semant structur correctli classifi cue phrase discours sententi critic natur languag process system exploit discours structur perform task anaphora resolut plan recognit paper explor machin learn classifi cue phrase discours sententi machin learn program cgrendel induc classif model set preclassifi cue phrase featur text speech machin learn effect techniqu autom gener classif model improv previou compar manual deriv classif model literatur learn model perform higher accuraci linguist insight data addit abil automat construct classif model easier compar analyz util altern featur represent data final eas retrain learn approach scalabl flexibl manual method,Artificial Intelligence
68,mechan autom negoti orient domain,paper lay groundwork domain theori negoti classifi interact clear domain negoti mechan strategi defin orient domain gener categori interact suffici condit cooper outlin notion worth alter definit util enabl agreement wider class jointgoal reachabl situat approach offer conflict resolut conflict situat partial cooper step interact agent agent fundament conflict agre cooper point unifi negoti protocol unp develop type encount borderlin cooper situat partial cooper agreement achiev agent goal prefer agent exist ration agreement achiev goal final analyz case agent incomplet goal worth agent case agent goal privat analyz goal declar strategi agent adopt increas util situat agent goal standalon cost common knowledg worth attach goal privat introduc mechan strict toler analyz stabil effici negoti outcom,Artificial Intelligence
69,learn firstord definit function,firstord learn involv find clauseform definit relat exampl relat relev background paper firstord learn modifi custom find definit function relat restrict lead faster learn time case definit higher predict accuraci firstord learn system benefit special,Artificial Intelligence
70,muse csp extens constraint satisfact problem,paper describ extens constraint satisfact problem csp call muse csp multipli segment constraint satisfact problem extens problem segment multipl set partial share variabl problem natur signal process applic includ vision speech process handwrit recognit applic difficult segment data lowlevel util segment algorithm muse csp compactli repres instanc constraint satisfact problem multipl instanc csp common variabl domain constraint combin singl instanc muse csp reduc work requir appli constraint introduc concept muse node consist muse arc consist muse path consist demonstr muse csp compactli repres lexic ambigu sentenc multipl sentenc hypothes gener speech recognit algorithm grammar constraint provid pars syntact correct sentenc algorithm muse arc path consist final discuss creat muse csp set csp label variabl share singl csp,Artificial Intelligence
71,exploit causal independ bayesian network infer,method propos exploit causal independ exact bayesian network infer bayesian network view repres factor joint probabl multipl set condit probabl notion causal independ enabl factor condit probabl combin smaller factor finergrain factor joint probabl formul causal independ condit probabl variabl parent term associ commut oper sum max contribut parent start simpl algorithm bayesian network infer evid queri variabl factor posterior distribut queri algorithm extend exploit causal independ empir studi base cpc network medic diagnosi method effici previou method infer larger network previou algorithm,Artificial Intelligence
